,BOS,DAL,DET,HOU,IND,MIA,OKC,TOR,ATL,CLE,DEN,GSW,LAC,LAL,MEM,MIL,MIN,NOP,NYK,ORL,PHI,PHX,POR,SAC,UTA,WAS,BKN,SAS,CHA,CHI
0,1.0,0.0762019957665558,0.049894163894768674,0.08708799516177805,0.007257332930148171,0.018143332325370427,0.007257332930148171,0.014514665860296342,0.09071666162685214,0.0036286664650740856,0.034472331418203814,0.005442999697611128,0.010885999395222256,0.014514665860296342,0.023586332022981556,0.0381009978832779,0.043543997580889025,0.034472331418203814,0.01360749924402782,0.005442999697611128,0.02298155427880254,0.04898699727850016,0.07983066223162988,0.06531599637133353,0.0,0.04898699727850016,0.05896583005745389,0.018143332325370427,0.06713032960387058,0.010885999395222256
1,0.0,1.0,0.018652849740932644,0.04041450777202073,0.0,0.15544041450777205,0.014507772020725389,0.0031088082901554407,0.0,0.0,0.04507772020725389,0.009326424870466322,0.012435233160621763,0.02694300518134715,0.2549222797927461,0.0,0.010362694300518137,0.023316062176165806,0.08082901554404145,0.027979274611398965,0.04352331606217617,0.035751295336787565,0.03886010362694301,0.024870466321243526,0.031088082901554407,0.0,0.018652849740932644,0.0839378238341969,0.0,0.0
2,0.0,0.037383177570093455,1.0,0.0,0.0,0.24922118380062305,0.11214953271028037,0.0,0.0,0.0,0.024922118380062305,0.1059190031152648,0.0,0.0,0.0,0.0,0.1806853582554517,0.0,0.0,0.09968847352024922,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.04984423676012461,0.04361370716510903,0.040498442367601244,0.0
3,0.0,0.03896103896103896,0.05194805194805195,1.0,0.0,0.0,0.08225108225108226,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.04329004329004329,0.021645021645021644,0.0,0.0,0.06060606060606061,0.07792207792207792,0.08658008658008658,0.0,0.0,0.03463203463203463,0.0,0.0,0.19047619047619047,0.0,0.2597402597402597
4,0.026954177897574125,0.0215633423180593,0.09703504043126684,0.09164420485175202,1.0,0.013477088948787063,0.0,0.11859838274932616,0.08086253369272238,0.03234501347708895,0.0,0.07547169811320756,0.005390835579514825,0.005390835579514825,0.0,0.0,0.0,0.03773584905660378,0.0,0.09433962264150944,0.0,0.0,0.04851752021563342,0.016172506738544475,0.0,0.05390835579514825,0.05390835579514825,0.0,0.09164420485175202,0.03504043126684636
5,0.018633540372670808,0.0,0.0,0.026619343389529725,0.026619343389529725,1.0,0.015971606033717833,0.01064773735581189,0.0479148181011535,0.01064773735581189,0.0,0.037267080745341616,0.07985803016858917,0.07453416149068323,0.0,0.05856255545696539,0.015971606033717833,0.15971606033717833,0.0,0.0479148181011535,0.01064773735581189,0.0479148181011535,0.11180124223602483,0.015971606033717833,0.03194321206743567,0.039041703637976925,0.0,0.05323868677905945,0.05856255545696539,0.0
6,0.09008189262966332,0.030937215650591446,0.0,0.09417652411282984,0.10919017288444038,0.0,1.0,0.10373066424021837,0.01910828025477707,0.03275705186533212,0.0027297543221110098,0.01637852593266606,0.06005459508644222,0.00818926296633303,0.010919017288444039,0.0,0.009554140127388535,0.0,0.027297543221110096,0.021838034576888078,0.05186533212010919,0.0,0.025477707006369425,0.0,0.06733393994540492,0.049135577797998174,0.05459508644222019,0.06551410373066424,0.0,0.049135577797998174
7,0.0,0.017740981667652277,0.021289178001182733,0.04612655233589592,0.0,0.037847427557658186,0.0,1.0,0.0709639266706091,0.04612655233589592,0.0,0.0,0.0,0.09225310467179185,0.010644589000591367,0.0,0.0,0.017740981667652277,0.0319337670017741,0.04080425783560024,0.023654642223536367,0.0319337670017741,0.10644589000591366,0.0638675340035482,0.0,0.024837374334713187,0.0,0.20224719101123595,0.07806031933767002,0.03548196333530455
8,0.0,0.054390934844192634,0.12237960339943343,0.0339943342776204,0.006798866855524079,0.013597733711048159,0.0169971671388102,0.029461756373937675,1.0,0.057790368271954676,0.027195467422096317,0.0,0.013597733711048159,0.0,0.0,0.057790368271954676,0.0,0.010198300283286119,0.04759206798866855,0.04759206798866855,0.020396600566572238,0.13937677053824363,0.06118980169971672,0.040793201133144476,0.023796033994334276,0.006798866855524079,0.004532577903682719,0.12917847025495752,0.03229461756373938,0.0022662889518413596
9,0.014711033274956216,0.033625218914185635,0.0882661996497373,0.07565674255691768,0.03502626970227671,0.04203152364273204,0.016812609457092818,0.026269702276707527,0.025218914185639228,1.0,0.0,0.0,0.04833625218914185,0.058844133099824864,0.03152364273204903,0.02101576182136602,0.0,0.04413309982486865,0.018213660245183883,0.046234676007005246,0.058844133099824864,0.033625218914185635,0.050437828371278456,0.0,0.04833625218914185,0.06935201401050788,0.0,0.016812609457092818,0.04203152364273204,0.05464098073555166
