Date,team1,team2,team1_odds,team2_odds
12 Oct 2020  - Play Offs,Miami Heat,Los Angeles Lakers,3.02,1.41
10 Oct 2020  - Play Offs,Los Angeles Lakers,Miami Heat,1.31,3.62
07 Oct 2020  - Play Offs,Miami Heat,Los Angeles Lakers,3.78,1.29
05 Oct 2020  - Play Offs,Miami Heat,Los Angeles Lakers,4.41,1.23
03 Oct 2020  - Play Offs,Los Angeles Lakers,Miami Heat,1.17,5.48
01 Oct 2020  - Play Offs,Los Angeles Lakers,Miami Heat,1.52,2.64
28 Sep 2020  - Play Offs,Miami Heat,Boston Celtics,2.26,1.68
27 Sep 2020  - Play Offs,Los Angeles Lakers,Denver Nuggets,1.47,2.80
26 Sep 2020  - Play Offs,Boston Celtics,Miami Heat,1.63,2.37
25 Sep 2020  - Play Offs,Denver Nuggets,Los Angeles Lakers,3.05,1.41
24 Sep 2020  - Play Offs,Miami Heat,Boston Celtics,2.37,1.63
23 Sep 2020  - Play Offs,Denver Nuggets,Los Angeles Lakers,3.15,1.39
21 Sep 2020  - Play Offs,Los Angeles Lakers,Denver Nuggets,1.33,3.54
20 Sep 2020  - Play Offs,Miami Heat,Boston Celtics,2.38,1.63
19 Sep 2020  - Play Offs,Los Angeles Lakers,Denver Nuggets,1.34,3.41
18 Sep 2020  - Play Offs,Boston Celtics,Miami Heat,1.69,2.26
16 Sep 2020  - Play Offs,Los Angeles Clippers,Denver Nuggets,1.31,3.63
16 Sep 2020  - Play Offs,Boston Celtics,Miami Heat,1.77,2.12
14 Sep 2020  - Play Offs,Denver Nuggets,Los Angeles Clippers,4.03,1.26
13 Sep 2020  - Play Offs,Los Angeles Lakers,Houston Rockets,1.40,3.08
12 Sep 2020  - Play Offs,Toronto Raptors,Boston Celtics,2.26,1.68
12 Sep 2020  - Play Offs,Los Angeles Clippers,Denver Nuggets,1.25,4.22
11 Sep 2020  - Play Offs,Houston Rockets,Los Angeles Lakers,2.76,1.48
10 Sep 2020  - Play Offs,Denver Nuggets,Los Angeles Clippers,3.59,1.32
10 Sep 2020  - Play Offs,Boston Celtics,Toronto Raptors,1.69,2.25
09 Sep 2020  - Play Offs,Houston Rockets,Los Angeles Lakers,2.54,1.56
09 Sep 2020  - Play Offs,Milwaukee Bucks,Miami Heat,2.80,1.47
08 Sep 2020  - Play Offs,Denver Nuggets,Los Angeles Clippers,4.48,1.23
08 Sep 2020  - Play Offs,Toronto Raptors,Boston Celtics,2.04,1.83
07 Sep 2020  - Play Offs,Los Angeles Lakers,Houston Rockets,1.42,3.00
07 Sep 2020  - Play Offs,Miami Heat,Milwaukee Bucks,2.05,1.81
06 Sep 2020  - Play Offs,Los Angeles Clippers,Denver Nuggets,1.23,4.46
06 Sep 2020  - Play Offs,Boston Celtics,Toronto Raptors,1.79,2.09
05 Sep 2020  - Play Offs,Los Angeles Lakers,Houston Rockets,1.33,3.47
05 Sep 2020  - Play Offs,Miami Heat,Milwaukee Bucks,2.75,1.48
04 Sep 2020  - Play Offs,Los Angeles Clippers,Denver Nuggets,1.21,4.69
04 Sep 2020  - Play Offs,Boston Celtics,Toronto Raptors,2.21,1.71
03 Sep 2020  - Play Offs,Houston Rockets,Oklahoma City Thunder,1.47,2.82
03 Sep 2020  - Play Offs,Milwaukee Bucks,Miami Heat,1.42,2.99
02 Sep 2020  - Play Offs,Denver Nuggets,Utah Jazz,1.83,2.02
02 Sep 2020  - Play Offs,Toronto Raptors,Boston Celtics,1.82,2.04
01 Sep 2020  - Play Offs,Oklahoma City Thunder,Houston Rockets,2.91,1.44
01 Sep 2020  - Play Offs,Milwaukee Bucks,Miami Heat,1.47,2.81
31 Aug 2020  - Play Offs,Utah Jazz,Denver Nuggets,1.71,2.20
31 Aug 2020  - Play Offs,Dallas Mavericks,Los Angeles Clippers,4.83,1.20
31 Aug 2020  - Play Offs,Toronto Raptors,Boston Celtics,1.76,2.09
30 Aug 2020  - Play Offs,Los Angeles Lakers,Portland Trail Blazers,1.08,8.70
30 Aug 2020  - Play Offs,Houston Rockets,Oklahoma City Thunder,1.48,2.74
30 Aug 2020  - Play Offs,Milwaukee Bucks,Orlando Magic,1.09,7.93
26 Aug 2020  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.27,4.01
26 Aug 2020  - Play Offs,Denver Nuggets,Utah Jazz,2.19,1.73
25 Aug 2020  - Play Offs,Portland Trail Blazers,Los Angeles Lakers,3.78,1.30
25 Aug 2020  - Play Offs,Miami Heat,Indiana Pacers,1.37,3.25
25 Aug 2020  - Play Offs,Oklahoma City Thunder,Houston Rockets,2.24,1.70
25 Aug 2020  - Play Offs,Orlando Magic,Milwaukee Bucks,8.12,1.10
24 Aug 2020  - Play Offs,Utah Jazz,Denver Nuggets,1.64,2.37
24 Aug 2020  - Play Offs,Brooklyn Nets,Toronto Raptors,8.82,1.09
24 Aug 2020  - Play Offs,Dallas Mavericks,Los Angeles Clippers,3.49,1.33
24 Aug 2020  - Play Offs,Philadelphia 76ers,Boston Celtics,3.51,1.33
23 Aug 2020  - Play Offs,Portland Trail Blazers,Los Angeles Lakers,3.81,1.29
23 Aug 2020  - Play Offs,Oklahoma City Thunder,Houston Rockets,2.12,1.77
23 Aug 2020  - Play Offs,Miami Heat,Indiana Pacers,1.49,2.75
23 Aug 2020  - Play Offs,Orlando Magic,Milwaukee Bucks,7.75,1.10
22 Aug 2020  - Play Offs,Dallas Mavericks,Los Angeles Clippers,2.80,1.48
22 Aug 2020  - Play Offs,Philadelphia 76ers,Boston Celtics,2.98,1.43
22 Aug 2020  - Play Offs,Utah Jazz,Denver Nuggets,1.87,2.00
22 Aug 2020  - Play Offs,Brooklyn Nets,Toronto Raptors,5.68,1.16
21 Aug 2020  - Play Offs,Los Angeles Lakers,Portland Trail Blazers,1.35,3.37
21 Aug 2020  - Play Offs,Milwaukee Bucks,Orlando Magic,1.10,8.11
21 Aug 2020  - Play Offs,Houston Rockets,Oklahoma City Thunder,1.78,2.12
21 Aug 2020  - Play Offs,Indiana Pacers,Miami Heat,2.56,1.56
20 Aug 2020  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.47,2.84
20 Aug 2020  - Play Offs,Boston Celtics,Philadelphia 76ers,1.52,2.66
20 Aug 2020  - Play Offs,Denver Nuggets,Utah Jazz,1.64,2.37
20 Aug 2020  - Play Offs,Toronto Raptors,Brooklyn Nets,1.13,6.49
19 Aug 2020  - Play Offs,Los Angeles Lakers,Portland Trail Blazers,1.36,3.31
19 Aug 2020  - Play Offs,Houston Rockets,Oklahoma City Thunder,1.96,1.90
19 Aug 2020  - Play Offs,Indiana Pacers,Miami Heat,2.49,1.59
19 Aug 2020  - Play Offs,Milwaukee Bucks,Orlando Magic,1.07,9.89
18 Aug 2020  - Play Offs,Los Angeles Clippers,Dallas Mavericks,1.35,3.37
18 Aug 2020  - Play Offs,Boston Celtics,Philadelphia 76ers,1.38,3.19
18 Aug 2020  - Play Offs,Toronto Raptors,Brooklyn Nets,1.20,4.98
18 Aug 2020  - Play Offs,Denver Nuggets,Utah Jazz,1.54,2.63
16 Aug 2020  - Play Offs,Portland Trail Blazers,Memphis Grizzlies,1.39,3.17
15 Aug 2020 ,Houston Rockets,Philadelphia 76ers,1.69,2.26
15 Aug 2020 ,Los Angeles Clippers,Oklahoma City Thunder,1.52,2.72
15 Aug 2020 ,Indiana Pacers,Miami Heat,1.97,1.89
15 Aug 2020 ,Toronto Raptors,Denver Nuggets,2.14,1.77
14 Aug 2020 ,Brooklyn Nets,Portland Trail Blazers,5.22,1.19
14 Aug 2020 ,Orlando Magic,New Orleans Pelicans,1.60,2.47
14 Aug 2020 ,Utah Jazz,San Antonio Spurs,3.34,1.36
14 Aug 2020 ,Memphis Grizzlies,Milwaukee Bucks,1.60,2.44
14 Aug 2020 ,Phoenix Suns,Dallas Mavericks,1.27,4.06
14 Aug 2020 ,Los Angeles Lakers,Sacramento Kings,1.62,2.41
14 Aug 2020 ,Boston Celtics,Washington Wizards,2.10,1.79
13 Aug 2020 ,Denver Nuggets,Los Angeles Clippers,2.81,1.47
13 Aug 2020 ,Oklahoma City Thunder,Miami Heat,2.43,1.61
13 Aug 2020 ,Philadelphia 76ers,Toronto Raptors,3.00,1.42
13 Aug 2020 ,Houston Rockets,Indiana Pacers,1.37,3.29
12 Aug 2020 ,Washington Wizards,Milwaukee Bucks,4.14,1.26
12 Aug 2020 ,Sacramento Kings,New Orleans Pelicans,1.68,2.28
12 Aug 2020 ,Dallas Mavericks,Portland Trail Blazers,2.22,1.71
12 Aug 2020 ,Memphis Grizzlies,Boston Celtics,2.60,1.54
12 Aug 2020 ,Philadelphia 76ers,Phoenix Suns,4.89,1.20
12 Aug 2020 ,San Antonio Spurs,Houston Rockets,1.57,2.53
12 Aug 2020 ,Orlando Magic,Brooklyn Nets,1.52,2.67
11 Aug 2020 ,Los Angeles Lakers,Denver Nuggets,1.48,2.80
